id;Lauseet;Kategoria
74-20020583;On selvää, että myös Venäjällä on tyytymättömyyttä, Paasikivi sanoo.;Henkilökohtainen_kokemus
74-20020583;Venäjä syyttää iskuista länttä ja haluaa peittää mahdolliset kotimaiset ongelmat, joita Ukrainan sota tuo mukanaan, arvioi Paasikivi.;Muu
74-20020583;Paasikivi sanoo Venäjän syyttävän mieluummin länttä kuin Ukrainaa.;Henkilökohtainen_kokemus
74-20020583;– Venäjällä ollaan halukkaita osoittamaan syyttävää sormeaan esimerkiksi Britanniaa tai Yhdysvaltoja kohtaan, koska heistä ei Venäjällä pidetä.;Muu
74-20020583;Hänen mukaansa ukrainalaisia ei ole venäläisille olemassa.;Henkilökohtainen_kokemus
74-20020583;– Vaikka ukrainalaiset olisivatkin vihamielisiä Venäjää kohtaan, niin heitä pidetään vain lännen sätkynukkeina.;Henkilökohtainen_kokemus
74-20020583;Paasikivi ei usko Venäjän haluavan laajentaa sotaa entisestään.;Henkilökohtainen_kokemus
74-20020583;– Kysymys kuuluu, onko Venäjällä haluja laajentaa sotaa, sillä sen he tulisivat varmasti häviämään.;Henkilökohtainen_kokemus
74-20020583;– Venäjän voittoon ei olisi mitään mahdollisuuksia, sillä he menettävät jo nyt viikottain tuhansia miehiä Ukrainassa, Paasikivi sanoo.;Määrä
74-20020583;Mitä ajatuksia artikkeli herättää?;Ei_tarkistettavissa_oleva_väite
74-20020583;Voit keskustella aiheesta perjantaihin kello 23:een saakka.;Ei_tarkistettavissa_oleva_väite
3-12434387;Suurlähettiläs Mikko Hautala: Suomi elää nyt vaaran vuosia, jokaisen tulee pitää katse pallossa;Henkilökohtainen_kokemus
3-12434387;Ulkopoliittisen johdon kantoja Suomen Nato-ratkaisuun voi tulla jo ensi viikolla.;Henkilökohtainen_kokemus
3-12434387;Suomi varautuu Venäjän systemaattiseen valehteluun.;Muu
3-12434387;Suomi valmistautuu hakemaan Naton jäsenyyttä.;Lait/toimintasäännot
3-12434387;Käytännössä päätös on selvä silloin, kun tasavallan presidentti Sauli Niinistö ilmoittaa kantansa.;Lait/toimintasäännot
3-12434387;Tämä voi tapahtua jo ensi viikolla.;Henkilökohtainen_kokemus
3-12434387;Pitkän uran diplomaattina Kiovassa ja Moskovassa tehnyt ja parhaillaan Suomen Yhdysvaltain-suurlähettiläänä työskentelevä Mikko Hautala pitää Venäjän painostusta Suomea kohtaan todennäköisenä.;Muu
3-12434387;– Kun varautuu pahimpaan, selviää varmasti vähemmästä.;Henkilökohtainen_kokemus
3-12434387;Erilaisilla toimilla on erilaiset todennäköisyydet.;Ei_tarkistettavissa_oleva_väite
3-12434387;Disinformaatio on käytännössä varmaa, ja muunlaistakin painostusta Venäjältä voi tulla, sanoo Hautala;Muu
3-12434387;Hänen mukaansa Suomi on varautunut ja varautuu lisää.;Ei_tarkistettavissa_oleva_väite
3-12434387;– Meillä on kykyä luotsata omaa kohtaloamme, emme ole ajopuu.;Henkilökohtainen_kokemus
3-12434387;Myös tavallisten kansalaisten on hyvä tiedostaa, missä mennään.;Henkilökohtainen_kokemus
3-12434387;– Kyllä jokaisen on varmasti perusteltua kohdaltaan hahmottaa, että eletään poikkeuksellista aikaa, vaaran vuosia.;Henkilökohtainen_kokemus
3-12434387;Kauhuskenaarioiden ja huolestumisen sijaan pitäisi katseen kuitenkin olla pallossa eli omassa tekemisessä, Hautala painottaa.;Henkilökohtainen_kokemus
3-12434387;Suomen Yhdysvaltain-suurlähettiläs Mikko Hautala oli lauantaina 7.5.;Määrä
3-12434387;Ylen Ykkösaamun haastateltavana.;Ei_tarkistettavissa_oleva_väite
3-12434387;Nato ja Yhdysvallat tukevat Suomea jäsenyyden hakuaikana;Lait/toimintasäännot
3-12434387;Yhdysvallat on Naton johtava valtio.;Lait/toimintasäännot
3-12434387;Sekä Naton pääsihteeri Jens Stoltenberg että Yhdysvaltain presidentti Joe Biden ovat toistaneet Naton avointen ovien politiikkaa Suomen ja Ruotsin harkitessa jäsenyyttä.;Muu
3-12434387;Hautala luottaa, että Suomi saa tukea.;Henkilökohtainen_kokemus
3-12434387;– Jäsenyysprosessinsa aikana Suomi saa Natolta ja sen jäsenmailta niin poliittista kuin sotilaallistakin tukea.;Lait/toimintasäännot
3-12434387;Ei olisi mitenkään loogista hyväksyä maata jäsenyysprosessiin, mutta jättää sitten se kokonaan oman onnensa nojaan sen ajaksi, Hautala arvioi.;Henkilökohtainen_kokemus
3-12434387;Mikko Hautalan mukaan Nato ja sen jäsenmaat ovat myös tuoneet selkeästi esiin tahdonilmaisunsa siitä, että Suomea tuetaan ja tarvittaessa turvataan, kun Suomen mahdollinen Nato-jäsenyyden hakemus on jätetty.;Muu
3-12434387;Tärkein tuki, mikä Suomella on, on Hautalan mukaan kuitenkin oma vahva puolustus.;Henkilökohtainen_kokemus
3-12434387;– Ei meillä ole sitä tilannetta, jossa olisimme avuttomina ja ulkoisen avun varassa.;Henkilökohtainen_kokemus
3-12434387;Enemmänkin ulkoinen apu, sikäli kun sitä tarvitaan, on luonteeltaan täydentävää, läsnäoloa.;Henkilökohtainen_kokemus
3-12434387;Lähtökohtana meillä on se oma pärjääminen, Hautala totesi Ykkösaamun lähetyksessä.;Ei_tarkistettavissa_oleva_väite
3-12434387;Amerikkalaisten avusta ja tuesta suurlähettiläällä on mielessä myös käytännön muotoja.;Henkilökohtainen_kokemus
3-12434387;– Uskon Yhdysvaltain antavan selkeitä viestejä Suomen tueksi.;Henkilökohtainen_kokemus
3-12434387;Kyseeseen tulee varmasti myös sotilaallinen läsnäolo esimerkiksi harjoituksiin osallistumisen muodossa.;Henkilökohtainen_kokemus
3-12434387;Disinformaatio on tällä hetkellä suunnattu Venäjän omalle yleisölle;Muu
3-12434387;Suomessa on saatu esimakua Venäjän disinformaatiokampanjoista.;Muu
3-12434387;Hautalan mukaan on kuitenkin merkillepantavaa, ettei Venäjä toistaiseksi ole aloittanut Suomeen suunnattua massiivista kampanjaa, jolla pyrittäisiin vaikuttamaan suomalaisten mielipiteisiin esimerkiksi Nato-jäsenyyteen liittyen.;Muu
3-12434387;– Se voi johtua yksinkertaisesti siitä ajatuksesta, että huomio on liikaa muualla.;Henkilökohtainen_kokemus
3-12434387;Tai sitten syynä on se, että todennäköisesti laajasta Suomeen vaikuttamisesta ei olisi mitään hyötyä.;Henkilökohtainen_kokemus
3-12434387;Se todennäköisesti vain motivoisi suomalaisia enemmän, Hautala sanoi Ykkösaamussa.;Henkilökohtainen_kokemus
3-12434387;Hänen mukaansa Suomessa on syytä huomata, että tällä hetkellä disinformaatio on pääosin suunnattu Venäjän omalle yleisölle.;Muu
3-12434387;Venäjä voi voitonpäivänä yllättää;Ei_tarkistettavissa_oleva_väite
3-12434387;Venäjällä juhlitaan voitonpäivää 9. toukokuuta.;Määrä
3-12434387;Jo pitkään on puhuttu, että Venäjän presidentti Vladimir Putinilta saatetaan nähdä jokin näyttävä ele.;Muu
3-12434387;– Odotan Venäjän ennen muuta yrittävän perustella sotaa ja sen jatkoa omilla valheellisilla väittämillään ja vetoamalla historiaan.;Henkilökohtainen_kokemus
3-12434387;Suuria muutoksia ei välttämättä tule, vaikkei niitä voida poiskaan sulkea, Hautala sanoo.;Henkilökohtainen_kokemus
3-12434387;Yksi olettamus on, että Putin voisi virallisesti julistaa sodan Ukrainalle ja samalla laajan liikekannallepanon Venäjällä.;Ei_tarkistettavissa_oleva_väite
3-12434387;– Tilanteesta tulisi entistä vaarallisempi, ja samalla epävarmuustekijöiden mittakaava kasvaisi.;Henkilökohtainen_kokemus
3-12434387;Päätös merkitsisi myös käytännössä sen tunnustamista, että ”erityisoperaatio” on epäonnistunut – vaikka muuta varmasti väitettäisiinkin, arvioi Hautala.;Henkilökohtainen_kokemus
3-12434387;Hautalan arvio on, että sota Ukrainassa tulee olemaan hyvin pitkäaikainen.;Ennuste
3-12434387;Kummallakaan osapuolella ei ole nykyasetelmassa kykyä lyödä toista osapuolta siten, että vielä voitaisiin päästä jonkinlaiseen loppuratkaisuun.;Muu
3-12434387;Tässä vaiheessa ei ole hänen mukaansa näkyvissä, mistä ratkaisu lopulta muodostuu.;Henkilökohtainen_kokemus
3-12434387;– Näen Venäjän johdon kokevan, ettei heillä ole varaa luopua tästä taistelusta.;Henkilökohtainen_kokemus
3-12434387;Mitään sellaisia merkkejä ei ole olemassa.;Muu
3-12434387;Ukraina toki tulee taistelemaan, koska heillehän kyse on kaikesta: omasta vapaudesta, oman maan olemassaolosta ja myöskin siitä, mitä heille yksilöinä tapahtuu – minkälaisen väkivallan kohteiksi he sodan epäonnistuessa joutuisivat.;Muu
3-12434387;Mikko Hautala ei sulje pois presidenttiehdokkuutta;Muu
3-12434387;Mikko Hautalan nimi on viime aikoina noussut esiin myös Suomen seuraavien presidentinvaalien yhteydessä.;Muu
3-12434387;Hautala ei sulje presidenttiehdokkuutta pois, vaikka sanookin, ettei tällä hetkellä sitä aktiivisesti suunnittele.;Muu
3-12434387;– Aika näyttää, minkälaisen presidentin Suomi katsoo tarvitsevansa ja minkälaisen presidentin se sitten nykyisen presidentin tehtävänsä päättäessä saa, Hautala totesi Ykkösaamun lähetyksessä.;Henkilökohtainen_kokemus
3-11339373;Tehtaalta levisi tappavaa kaasua Intiassa, useita kuoli, satoja on viety sairaalaan – jalkakäytäville lyyhistyi tajuttomia ihmisiä;Määrä
3-11339373;Koronarajoitusten vuoksi huomiotta jätetyistä säiliöistä pääsi ilmaan myrkyllistä kaasua.;Korrelaatio/kaussatio
3-11339373;Intian itärannikolla ainakin kahdeksan ihmistä on kuollut ja useita satoja on joutunut sairaalaan kemikaalitehtaalla tapahtuneen kaasuvuodon vuoksi, kertoo poliisi.;Määrä
3-11339373;Tiedot uhrien määrstä vaihtelevat.;Määrä
3-11339373;Poliisi kertoo uutistoimisto Reutersille, että kuolleita olisi ainakin yhdeksän.;Määrä
3-11339373;Yli 300 ihmistä on viety sairaalaan ja 1 500 evakuoitu.;Määrä
3-11339373;Onnettomuus sattui yöllä Andra Pradeshin osavaltiossa 14 kilometrin päässä Visakhapatnamin kaupungista.;Määrä
3-11339373;LG Polymers -yrityksen operoima tehdas sijaitsee satamakaupunki Visakhapatnamin laitamilla Andhra Pradeshin osavaltiossa.;Muu
3-11339373;Kaupungissa ja sitä ympäröivällä alueella asuu noin viisi miljoonaa ihmistä.;Määrä
3-11339373;Yhtiö kertoo, että vuoto on saatu hallintaan ja sen syytä tutkitaan.;Muu
3-11339373;Pelastustoimia koordinoiva B. K. Naik. kertoo, että ihmisiä oli vaipunut tajuttomuuteen, kun he ovat olleet nukkumassa.;Muu
3-11339373;Viranomaiset ovat tarkastaneet taloja ihmisten saamiseksi sairaalaan.;Muu
3-11339373;He tarvitsevat happihoitoa ja raikasta ilmaa, hän selvitti.;Muu
3-11339373;Poliisin mukaan kaasua oli vuotanut kahdesta 5 000 tonnin säiliöstä, jotka oli jätetty vartioimatta koronarajoitusten vuoksi.;Korrelaatio/kaussatio
3-11339373;– Säiliöiden jättäminen huomiotta johti kemialliseen reaktioon.;Korrelaatio/kaussatio
3-11339373;Säiliöt kuumenivat ja kaasua pääsi vuotamaan.;Muu
3-11339373;Lähdimme paikalle heti kun paikalliset asukkaat hälyttivät meidät.;Muu
3-11339373;Kaasua oli ilmassa niin paljon, ettemme voineet olla paikalla muutamaa minuuttia kauempaa, selvitti poliisin apulaispäällikkö Swaroop Rani.;Muu
3-11339373;Vuoto poiki paniikin;Muu
3-11339373;Intian median mukaan kaasuvuoto johti paniikkiin usean kilometrin säteellä tehtaasta.;Muu
3-11339373;Paikan päältä otetuissa kuvissa näkyy jalkakäytäville lyyhistyneitä ihmisiä, jotka näyttävät tajuttomilta.;Muu
3-11339373;Monet kärsivät hengenahdistuksesta tai pahoista iho- ja silmäoireista.;Muu
3-11339373;Intian lähihistorian pahin teollisuusonnettomuus tapahtui joulukuussa 1984 Bhopalissa maan keskiosassa.;Määrä
3-11339373;Kaasuvuoto Union Carbide -yhtiön kemikaalitehtaalta johti ainakin 3 500 ihmisen välittömään kuolemaan.;Määrä
3-11339373;Virnaomaisten myöhempien tilastojen mukaan ainakin 100 000 ihmistä sairastui onnettomuuden seurauksena.;Määrä
3-11339373;Onnettomuus vaikuttaa edelleen ihmisten elämään kaupungissa: muun muassa lasten sairaudet ja vauvojen epämuodostumat ovat yleisiä.;Korrelaatio/kaussatio
3-12341521;THL: Sairaalahoidossa edelleen paljon koronapotilaita, epidemian tilanne epävarma;Määrä
3-12341521;Terveyden- ja hyvinvoinnin laitos sanoo, että epidemian kulusta on vielä epäselvyyttä.;Muu
3-12341521;Myös jätevesissä on yhä paljon virusjäämiä.;Määrä
3-12341521;Sairaaloissa on hoidossa yhä paljon koronapotilaita, sanoo Terveyden- ja hyvinvoinnin laitos THL.;Määrä
3-12341521;Potilaiden määrä ei juuri ole laskenut, vaikka virustartunnat muuten ovat kääntyneet laskusuuntaisiksi.;Määrä
3-12341521;Viime sunnuntaina 27. helmikuuta erikoissairaanhoidon vuodeosastoilla oli yhteensä 316 koronapotilasta, kun heitä viikkoa aikaisemmin oli yhteensä 322.;Määrä
3-12341521;Erikoissairaanhoidon koronapotilaista arviolta kaksi viidestä oli kuitenkin ensisijaisessa hoidossa jostain muusta syystä kuin koronan vuoksi, THL lisää.;Määrä
3-12341521;Koronapotilaita hoidetaan erikoissairaanhoidon lisäksi myös tavallisilla vuodeosastoilla.;Lait/toimintasäännot
3-12341521;Tehohoidossa potilaita oli jopa enemmän kuin edellisviikolla: viime sunnuntaina tehohoidossa oli 44 koronapotilasta, kun viikkoa aiemmin heitä oli 38.;Määrä
3-12341521;Viikolla 8 teho-osastoille tuli 36 uutta koronapotilasta, kun edellisellä viikolla määrä oli 25.;Määrä
3-12341521;Epävarmuutta epidemian kulussa;Ei_tarkistettavissa_oleva_väite
3-12341521;THL sanoo tiedotteessaan, että epidemian kulun arviointiin liittyy edelleen huomattavaa epävarmuutta.;Muu
3-12341521;Arvioitu tehollinen tartuttavuusluku on pysynyt viime viikon tasolla, noin 0,85–1,05, ja se perustuu erikoissairaanhoidon koronatapauksiin.;Määrä
3-12341521;Myös jätevesissä koronavirusta löytyy yhä varsin paljon.;Määrä
3-12341521;Koronavirusjäämien määrä on kääntynyt laskuun vain Espoossa ja Helsingissä.;Määrä
3-12341521;Muilla seurantapaikkakunnilla määrät ovat pysyneet tasaisina tai kääntyneet nousuun.;Määrä
3-12341521;Kokonaisuudessaan koronapandemia näyttäisi kuitenkin olevan laskusuunnassa, vaikka eteläistä Suomea lukuun ottamatta Suomessa ei tautihuippu ole vielä kääntynyt, [arvioi THL:n Mika Salminen keskiviikkona.](https://yle.fi/uutiset/3-12340221);Määrä
3-12341521;THL muistuttaa, että rokotukset suojaavat vakavalta koronataudilta edelleen hyvin.;Muu
3-12341521;Kolmansien annosten ottaminen on erityisen tärkeää riskiryhmille ja yli 60-vuotiaille.;Lait/toimintasäännot
3-12341521;Kolmatta rokotusta suositellaan kaikille täysi-ikäisille.;Lait/toimintasäännot
3-12341521;[Neljänsiä koronarokoteannoksia suositellaan](https://thl.fi/fi/-/thl-suosittelee-vakavasti-immuunipuutteisille-neljatta-koronarokoteannosta) 12 vuotta täyttäneille voimakkaasti immuunipuutteisille.;Lait/toimintasäännot
3-12341521;Koronarajoitukset ovat keventyneet, mutta ihmisten on edelleen tärkeä pysyä sairaana kotona, käyttää maskia julkisissa sisätiloissa sekä huolehtia hyvästä käsihygieniasta, sanoo THL.;Lait/toimintasäännot
3-12341521;THL julkaisi viikkokatsauksensa tänään tiedotteena sivuillaan, mutta tutuksi tullutta tiedotustilaisuutta ei pidetty.;Muu
3-12341521;Koronaepidemian helpottamisen myötä varsinaisia tiedotustilaisuuksia on tarkoitus pitää joka toinen viikko.;Määrä
3-12341521;Voit keskustella aiheesta 4.3. kello 23:een saakka.;Ei_tarkistettavissa_oleva_väite
3-12341521;Täydennetty 3.3. klo 13.19: Lisätty tieto, että STM:n ja THL:n koronakatsausta ei järjestetty tiedotustilaisuutena, vaan niiden väliä on kasvatettu kahteen viikkoon.;Määrä
74-20012124;Villasukkien sijaan droneja ja tähtäimiä: suomalaiset haluavat antaa nyt täsmäapua sotivalle Ukrainalle;Muu
74-20012124;Kylmä talvi on saanut suomalaiset lahjoittamaan tavara-apuna Ukrainaan lämpimiä vaatteita.;Muu
74-20012124;Nyt tuen sisältöä halutaan räätälöidä tarkemmin sotaa käyvälle kansalle.;Ei_tarkistettavissa_oleva_väite
74-20012124;Ukrainan apuun keskittyvä yhdistys Apua Ukrainaan ry. suuntaa apuaan yhä täsmällisemmin myös suoraan sodan rintamalinjoille.;Muu
74-20012124;Yhdistys on saanut rahalahjoituksia, joilla hankitaan täsmähankintoina muun muassa droneja ja tähtäimia.;Muu
74-20012124;Kylmä talvi ja Venäjän energiantuotantoon ja jakeluun tekemät julmat iskut saivat suomalaiset alkutalvesta lahjoittamaan runsaasti esimerkiksi talvivaatteita.;Korrelaatio/kaussatio
74-20012124;Talven taittuessa kevääseen tukea halutaan täsmätä sotaa käyvän maan tarpeisiin.;Muu
74-20012124;– Tämmöiset rintamalla tarpeelliset tekniset laitteet, kuten dronet ja tähtäimet, ovat sellaisia, joihin tarvitsisimme rahaa, kertoo Apua Ukrainaan ry:n sihteeri Matti Ahonen.;Muu
74-20012124;Tavaran sijasta yhdistys tarvitsee rahaa, sen avulla voidaan Ahosen mukaan hankkia juuri ukrainalaisten rintamalla tarvitsemia varusteita.;Muu
74-20012124;– Voitaisiin hankkia juuri oikeanlaisia täsmävarusteita, toteaa Ahonen.;Ei_tarkistettavissa_oleva_väite
74-20012124;Erityisen paljon Keski-Suomesta on viime kuukausina lähtenyt Ukrainaan sairaalatarvikkeita.;Muu
74-20012124;– Olemme keskittyneet toimittamaan lähinnä sotilaille ja rintamalle menevää tavaraa ja sotilassairaaloihin sairaalatarvikkeita.;Muu
74-20012124;Niitä onkin saatu useista eri lähteistä kiitettävästi, kiittelee Ahonen.;Muu
74-20012124;Teknistä välineistöä tarvitsevat myös Ukrainan siviilit, jotka sota on jättänyt pahimmillaan kokonaan ilman sähköä, lämpöä ja juoksevaa vettä.;Muu
74-20012124;– Hankkimme aggregaatteja eli varavirtalähteitä yksityishenkilöille.;Muu
74-20012124;Ne ovat juuri nyt meillä ykkösjuttuja, kertoo yhdistyksen Laukaan keräysvastaava Marjut Arkko.;Muu
74-20012124;Jyväskylässä Apua Ukrainaan on ottanut vastaan avutustuksia kahdesti viikossa.;Määrä
74-20012124;Kylmä talvi on saanut monen suomalaisen samaistumaan ukrainalaisten kohtaloon.;Ei_tarkistettavissa_oleva_väite
74-20012124;– Jos meillä nipistetään lämmityksessä kotitalouksissa, niin sitä vain miettii, miten julmaa se onkaan siellä, missä et voi valita, sanoo lastenvaatteita keräykseen tuonut jyväskyläläinen Aila Kuusela.;Henkilökohtainen_kokemus
74-20012124;Suomalaisten avustusinnon pelättiin hiipuvan sodan jatkuessa ja viime syksy olikin avustusten osalta hiljaisempaa aikaa.;Muu
74-20012124;Sen päättivät Venäjän aloittamat iskut siviilikohteisiin.;Muu
74-20012124;– Syksyllä oli vähän hiljaisempaa, mutta joulua kohden avustusten määrä on lisääntynyt ja tuntuu edelleen lisääntyvän, kertoo Marjut Arkko.;Määrä
74-20012124;Monelle vanhemman sukupolven suomalaiselle ukrainalaisten hätään on helppo samaistua.;Ei_tarkistettavissa_oleva_väite
74-20012124;– Sitä vain toivoo, että oma apu ehtisi perille ja ettei se tuho olisi niin silmitöntä kuin mitä se on tähän saakka ollut, Aila Kuusela sanoo.;Henkilökohtainen_kokemus
74-20012124;Myös Matti Ahosella on hyvin kirkas näkemys siitä, miksi suomalaisten ja myös eurooppalaisten kannattaa juuri nyt tukea ukrainalaisia.;Henkilökohtainen_kokemus
74-20012124;– Meidän on nyt tärkeää pysäyttää Venäjä Ukrainassa, jotta emme joutuisi tekemään kuten minun isäni aikoinaan eli pysäyttämään venäläisiä oman maan silloisten rajojen sisällä eli Karjalan kannaksella.;Muu
74-20012124;Ahonen muistuttaa, että Ukraina tuen tarve ei myöskään ole aivan heti väistymässä.;Henkilökohtainen_kokemus
74-20012124;– Ei tämä tuen tarve heti lopu.;Henkilökohtainen_kokemus
74-20012124;Se painopiste vähän vaihtelee, mitä siellä kulloinkin tarvitaan.;Muu
74-20012124;Se avun tarve, se ei häviä minnekään.;Henkilökohtainen_kokemus
74-20012124;Juttua muokattu 16.1. klo 10.04: Artikkelista poistettu sairaalatarvikkeiden lahjoituspaikka.;Muu
74-20012124;Voit keskustella aiheesta 16.1. klo 23.00 saakka.;Ei_tarkistettavissa_oleva_väite
3-11695983;"Hallitus ja oppositio kinastelivat sotesta – Kiuru hermostui kokoomukselle: ""En ymmärrä tätä jankkaamista"", kokoomus piti uudistusta sutena jo syntyessään";Muu
3-11695983;Hallituksen sote-uudistuksesta käytiin eduskunnassa vilkasta keskustelua.;Muu
3-11695983;Eduskunta on ruotinut maanantaina hallituksen sote-esitystä.;Muu
3-11695983;Kyseessä on yksi vaalikauden merkittävimmistä asioista.;Muu
3-11695983;Mikäli uudistus toteutuu, sosiaali- ja terveyspalvelut siirtyvät kunnilta 21 hyvinvointialueen ja Helsingin vastuulle.;Lait/toimintasäännot
3-11695983;Keskustelu äityi kiivaaksi erityisesti hallituksen ja oppositiopuolue kokoomuksen välillä.;Muu
3-11695983;Kokoomus arvosteli sote-esitystä muun muassa siitä, että se puolueen mukaan pikemminkin lisää sote-menoja kuin hillitsee niitä.;Muu
3-11695983;Kaikki oppositiopuolueet katsoivat, että uudistuksen keskeinen ongelma on rahoitus.;Muu
3-11695983;Hallitus kummasteli sitä, että oppositiosta moititaan yhtä aikaa sitä, että uudistukseen käytetään liikaa ja toisaalta liian vähän rahaa.;Muu
3-11695983;Keskusta ja SDP toivoivat oppositiolta rakentavaa henkeä siinä, että vuosikausia yritetty sote-uudistus saataisiin viimein maaliin.;Muu
3-11695983;Voit lukea alta, miten keskustelu kulki.;Ei_tarkistettavissa_oleva_väite
3-11695983;Kello 16.40: Kiuru kummasteli kokoomusta ja kristillisdemokraatteja;Henkilökohtainen_kokemus
3-11695983;Vastuuministerit pääsevät nyt vastaamaan.;Ei_tarkistettavissa_oleva_väite
3-11695983;Perhe- ja peruspalveluministeri Krista Kiuru (sd.) katsoo, että oppositio ei antanut hallituksen sote-esitykselle konkreettisia ja realistisia vaihtoehtoja.;Muu
3-11695983;Hän totesi, että nykymenolla ei voida jatkaa vaan uudistus on tehtävä.;Muu
3-11695983;Hän ihmetteli eritoten kokoomuksen kritiikkiä.;Muu
3-11695983;– En ymmärrä tätä jankkaamista siitä, että kokoomuksen mukaan ei tule tarpeeksi säästöjä.;Henkilökohtainen_kokemus
3-11695983;Samaan aikaan te esitätte, että tällä ratkaisulla ei saataisi ihmisiä hoidettua ja siihen tarvittaisiin lisää rahaa.;Muu
3-11695983;Kiuru kummasteli myös kristillisdemokraatteja.;Henkilökohtainen_kokemus
3-11695983;– Kristillisdemokraatit sanoivat, että alueita on liikaa, mutta samassa puheenvuorossa annoitte ymmärtää, että yksityiseltä sektorilta voitaisiin antaa ulkoistuksia hoitamaan enemmänkin isäntiä.;Muu
3-11695983;Kello 16:20: Keskustan Lohi: Toivoisin, että löytyisi yksituumaisuutta;Henkilökohtainen_kokemus
3-11695983;Kokoomuksen Juhana Vartiainen totesi, että koko keskustelun ajan hän on kuullut kauniita puheita siitä, että nyt kaikki voivat olla rauhallisin mielin ja kaikki saavat lisää rahaa.;Muu
3-11695983;– Tällä menolla tällä vuosikymmenellä ei tule lisää rahaa vaan vähemmän, hän tiivisti ajatuksensa.;Ennuste
3-11695983;Keskustan Markus Lohi katsoi, että kun siirrytään noin 200 sote-järjestäjästä reiluun pariinkymmeneen, on se omiaan tehostamaan toimintaa ja vähentämään byrokratiaa.;Ennuste
3-11695983;Lohi katsoi keskustalaisena, että nykyhallituksen malli on käytännössä hyvin pitkälle riisuttu malli edellisen hallituksen sote-esityksestä.;Muu
3-11695983;– Siinä mielessä toivoisin, että eduskunnasta voisi löytyä yksituumaisuutta.;Henkilökohtainen_kokemus
3-11695983;Voitaisiin koota nyt voimia, hän vetosi.;Henkilökohtainen_kokemus
3-11695983;Keskustelu meni toistuvasti vasemmistoliiton ja kokoomuksen väliseksi kädenväännöksi.;Muu
3-11695983;– Kokoomus on johdonmukaisesti halunnut avata suomalaisia julkisia sosiaali- ja terveyspalveluita kansainvälisten sote-jättien metsästysmaaksi, kuvasi vasemmistoliiton Hanna Sarkkinen.;Muu
3-11695983;Kokoomuksen Elina Lepomäen mielestä uudistus vaikuttaa lehmänkaupoilta keskustan ja vasemmiston välillä.;Henkilökohtainen_kokemus
3-11695983;Lepomäki katsoi,että hallituksen malli siirtelee rahaa hyvin tehottomasti Suomen sisällä.;Muu
3-11695983;– Kestävyysvaje kasvaa ja hyvinvointivaltion rahoituspohja romuttuu, eli sote-menot kasvavat ja kohdistuvat ennen muuta hallintoon.;Ennuste
3-11695983;Kokoomuksesta kuvattiin uudistusta sudeksi jo syntyessään.;Henkilökohtainen_kokemus
3-11695983;Hallituspuolueista puolestaan huomautettiin, että sotea on yritetty saadaan kuntoon 15 vuotta, josta kokoomus on ollut hallitusvastuussa valtaosan.;Määrä
3-11695983;"Klo 15:50: Debatti jatkuu: ""Sanoitte karsineennen kaiken ylimääräisen – olette karsineet potilaan""";Muu
3-11695983;Keskustelu alkaa kuumentua.;Henkilökohtainen_kokemus
3-11695983;Perussuomalaisten Arja Juvonen vaati hallitukselta selitystä siihen, mitä maakuntavero tarkottaisi.;Muu
3-11695983;– Verot eivät saa nousta.;Ei_tarkistettavissa_oleva_väite
3-11695983;Me maksamme niitä jo ihan riittävästi.;Ei_tarkistettavissa_oleva_väite
3-11695983;Keskustan kansanedustaja Markus Lohi puuttui kokoomuksen Häkkäsen aiempaan puheenvuoroon.;Muu
3-11695983;– Sitä logiikkaa en ymmärrä, että jos me laitamme lisää rahaa hyvinvointipalveluihin, niin heikennämme hyvinvointiyhteiskuntaa?;Henkilökohtainen_kokemus
3-11695983;Jos oikein ymmärsin kokoomuksen ryhmäpuheenvuoron, siinä kritisoitiin sitä, että uudistukseen laitetaan liikaa rahaa.;Muu
3-11695983;Mutta kun 24. syyskuuta olin A-talkissa edustaja Risikon [kokoomuksen Paula Risikko] kanssa, niin hän sanoi, että tästä puuttuu kaksi miljardia.;Muu
3-11695983;Tämä aiheutti salissa naurunpyrskähdyksen.;Henkilökohtainen_kokemus
3-11695983;Risikko vastasi, mutta osoitti sanansa pikemminkin ministeri Kiurulle.;Henkilökohtainen_kokemus
3-11695983;– Totta kai tarvitsemme sote-uudistuksen, mutta ei mitä sattuu uudistusta.;Muu
3-11695983;Tarkoitus ei saa pyhittää keinoja.;Ei_tarkistettavissa_oleva_väite
3-11695983;Te Kiuru sanoitte, että uudistuksesta on karsittu kaikki ylimääräinen.;Muu
3-11695983;Te olette karsineet potilaan.;Ei_tarkistettavissa_oleva_väite
3-11695983;Huomioon ei ole otettu ongelmia.;Muu
3-11695983;Meillä ei pääse perusterveydenhuoltoon ja palvelut ovat pirstaleiset.;Muu
3-11695983;Byrokratia lisääntyy, hallintoa tulee lisää, lähipalvelut keskittyvät ja rahaa ei ole riittävästi, Risikko näki uudistuksen.;Ennuste
3-11695983;SDP:n Aki Lindén totesi, että kokoomus esittää niin paljon väitteitä, ettei niihin ehdi edes kaikkiin vastata.;Muu
3-11695983;– Erityisesti kotikaupungissani, joka on myös puoluejohtajanne Orpon kotikaupunki, ei pääse millään terveyskeskukseen.;Muu
3-11695983;Kyllähän tämä asia on pantava kuntoon.;Ei_tarkistettavissa_oleva_väite
